epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71246,1.7632,3.27341,1.57408,0,0,0,0,0,119.688,0,0.00022,0.00022,0.00022
2,3.90292,1.65608,2.54728,1.43891,0,0,0,0,0,118.938,0,0.000450892,0.000450892,0.000450892
3,5.11468,1.58201,2.47413,1.41318,0,0,0,0,0,120.219,0,0.00067228,0.00067228,0.00067228
4,6.27922,1.62557,2.28351,1.45468,0,0,0,0,0,121.375,0,0.000884164,0.000884164,0.000884164
5,7.49361,1.68001,2.10634,1.46125,0,0,0,0,0,124.594,0,0.00108654,0.00108654,0.00108654
6,8.6953,1.64595,2.14596,1.4144,0,0,0,0,0,97.2812,0,0.00127942,0.00127942,0.00127942
7,9.86253,1.62729,2.07437,1.43612,0,0,0,0,0,94.9688,0,0.00146279,0.00146279,0.00146279
8,11.1339,1.65673,2.12172,1.46651,0,0,0,0,0,123.594,0,0.00163666,0.00163666,0.00163666
9,12.3839,1.61923,1.91661,1.38862,0,0,0,0,0,645.375,0,0.0016832,0.0016832,0.0016832
10,13.5171,1.59953,1.82447,1.39665,0,0,0,0,0,131.25,0,0.0016436,0.0016436,0.0016436
11,14.6493,1.63378,1.90043,1.44164,0,0,0,0,0,180.031,0,0.001604,0.001604,0.001604
12,15.9229,1.56131,1.82038,1.36871,0,0,0,0,0,191,0,0.0015644,0.0015644,0.0015644
13,17.1536,1.57862,1.82308,1.38205,0,0,0,0,0,134.688,0,0.0015248,0.0015248,0.0015248
14,18.3962,1.59803,1.74674,1.35874,0,0,0,0,0,216,0,0.0014852,0.0014852,0.0014852
15,19.6299,1.61256,1.80496,1.39157,0,0,0,0,0,58.5625,0,0.0014456,0.0014456,0.0014456
16,20.8775,1.49376,1.62933,1.32316,0,0,0,0,0,37.625,0,0.001406,0.001406,0.001406
17,22.0707,1.55765,1.63085,1.3717,0,0,0,0,0,119.188,0,0.0013664,0.0013664,0.0013664
18,23.3177,1.55005,2.8909,1.37184,0,0,0,0,0,112.094,0,0.0013268,0.0013268,0.0013268
19,24.4765,1.49274,1.55824,1.34224,0,0,0,0,0,64.7344,0,0.0012872,0.0012872,0.0012872
20,25.6653,1.51991,1.58034,1.3221,0,0,0,0,0,128.875,0,0.0012476,0.0012476,0.0012476
21,26.877,1.4755,1.69799,1.31897,0,0,0,0,0,222.562,0,0.001208,0.001208,0.001208
22,28.0407,1.44153,1.52122,1.2696,0,0,0,0,0,311.812,0,0.0011684,0.0011684,0.0011684
23,29.2289,1.505,1.41925,1.31062,0,0,0,0,0,241,0,0.0011288,0.0011288,0.0011288
24,30.4865,1.31154,3.07452,1.16645,0,0,0,0,0,125.469,0,0.0010892,0.0010892,0.0010892
25,31.6876,1.47159,1.5628,1.39687,0,0,0,0,0,134.094,0,0.0010496,0.0010496,0.0010496
26,33.0643,1.4549,1.98725,1.25525,0,0,0,0,0,86.9844,0,0.00101,0.00101,0.00101
27,34.3299,1.41014,1.40494,1.30912,0,0,0,0,0,39.3281,0,0.0009704,0.0009704,0.0009704
28,35.5376,1.40511,1.29989,1.2829,0,0,0,0,0,78.3438,0,0.0009308,0.0009308,0.0009308
29,36.7694,1.37774,1.26152,1.24793,0,0,0,0,0,56.25,0,0.0008912,0.0008912,0.0008912
30,38.0849,1.35967,1.23217,1.24454,0,0,0,0,0,62.5625,0,0.0008516,0.0008516,0.0008516
31,39.2997,1.29307,1.1634,1.1718,0,0,0,0,0,148.969,0,0.000812,0.000812,0.000812
32,40.4888,1.33075,1.12616,1.19438,0,0,0,0,0,119.438,0,0.0007724,0.0007724,0.0007724
33,41.7269,1.23674,1.12381,1.14589,0,0,0,0,0,62.2969,0,0.0007328,0.0007328,0.0007328
34,42.929,1.25411,1.08873,1.17276,0,0,0,0,0,90.0469,0,0.0006932,0.0006932,0.0006932
35,44.3473,1.21954,1.20696,1.1847,0,0,0,0,0,95.8438,0,0.0006536,0.0006536,0.0006536
36,45.5565,1.24319,1.14848,1.19686,0,0,0,0,0,126,0,0.000614,0.000614,0.000614
37,46.895,1.19999,1.01969,1.14612,0,0,0,0,0,110.312,0,0.0005744,0.0005744,0.0005744
38,48.2246,1.18213,1.00927,1.13338,0,0,0,0,0,72.9062,0,0.0005348,0.0005348,0.0005348
39,49.7872,1.2131,0.96697,1.13844,0,0,0,0,0,73.1406,0,0.0004952,0.0004952,0.0004952
40,51.0395,1.23287,0.98714,1.17547,0,0,0,0,0,83.9688,0,0.0004556,0.0004556,0.0004556
41,52.8752,1.14371,2.16966,1.07759,0,0,0,0,0,47.8672,0,0.000416,0.000416,0.000416
42,54.0966,1.17876,1.19559,1.17123,0,0,0,0,0,61.75,0,0.0003764,0.0003764,0.0003764
43,55.2549,1.17592,1.15616,1.13586,0,0,0,0,0,247.688,0,0.0003368,0.0003368,0.0003368
44,56.408,1.20805,1.0311,1.14402,0,0,0,0,0,291.375,0,0.0002972,0.0002972,0.0002972
45,57.6578,1.21268,1.13384,1.18626,0,0,0,0,0,191.188,0,0.0002576,0.0002576,0.0002576
46,58.8723,0.99649,1.34677,1.01947,0,0,0,0,0,115.094,0,0.000218,0.000218,0.000218
47,60.0805,1.09662,1.06334,1.11116,0,0,0,0,0,75.5938,0,0.0001784,0.0001784,0.0001784
48,61.1915,0.96007,1.46719,0.98946,0,0,0,0,0,75.8594,0,0.0001388,0.0001388,0.0001388
49,62.2826,1.08737,0.96634,1.09293,0,0,0,0,0,89.4688,0,9.92e-05,9.92e-05,9.92e-05
50,63.3693,1.04405,0.90045,1.0766,0,0,0,0,0,91.7188,0,5.96e-05,5.96e-05,5.96e-05
